--- Detailed Conversation Log ---

[00:05] [Police Officer]: Turn the car. Turn the car.
[00:08] [Police Officer]: Mary, good.
[19:43] [Police Officer]: Oh!
[19:44] [Police Officer]: Oh!
[19:45] [Police Officer]: Oh!
[19:46] [Police Officer]: Oh!
[19:47] [Police Officer]: Oh!
[19:48] [Police Officer]: Oh!
[19:49] [Police Officer]: Oh!
[19:50] [Police Officer]: Oh!
[19:51] [Police Officer]: Oh!
[19:52] [Police Officer]: Oh!
[19:53] [Police Officer]: Oh!
[19:54] [Police Officer]: Oh!
[19:55] [Police Officer]: Oh!
[19:56] [Police Officer]: Oh!
[19:57] [Police Officer]: Oh!
[19:58] [Police Officer]: Oh!
[19:59] [Police Officer]: Oh!
[20:00] [Police Officer]: Oh!
[20:01] [Police Officer]: Oh!
[20:02] [Police Officer]: Oh!
[20:03] [Police Officer]: Oh!
[20:04] [Police Officer]: Oh!
[20:05] [Police Officer]: Oh!
[20:06] [Police Officer]: Oh!
[20:07] [Police Officer]: Oh!
[20:08] [Police Officer]: Oh!
[20:09] [Police Officer]: Oh!
[20:10] [Police Officer]: Oh!
[20:11] [Police Officer]: Oh!
[20:12] [Police Officer]: Oh!
[20:13] [Police Officer]: Oh!
[20:14] [Police Officer]: Oh!
[20:15] [Police Officer]: Oh!
[20:16] [Police Officer]: Oh!
[20:17] [Police Officer]: Oh!
[20:18] [Police Officer]: Oh!
[20:19] [Police Officer]: Oh!
[20:20] [Police Officer]: Oh!
[20:21] [Police Officer]: Oh!
[20:22] [Police Officer]: Oh!
[20:23] [Police Officer]: Oh!
[20:24] [Police Officer]: Oh!
[20:25] [Police Officer]: Oh!
[20:26] [Police Officer]: Oh!
[20:27] [Police Officer]: Oh!
[20:28] [Police Officer]: Oh!
[20:29] [Police Officer]: Oh!
[20:30] [Police Officer]: Oh!
[20:31] [Police Officer]: Oh!
[20:32] [Police Officer]: Oh!
[20:33] [Police Officer]: Oh!
[20:34] [Police Officer]: Oh!
[20:35] [Police Officer]: Oh!
[20:36] [Police Officer]: Oh!
[20:37] [Police Officer]: Oh!
[20:38] [Police Officer]: Oh!
[20:39] [Police Officer]: Oh!
[20:40] [Police Officer]: Oh!
[20:41] [Police Officer]: Oh!
[20:42] [Police Officer]: Oh!
[20:43] [Police Officer]: Oh!
[20:44] [Police Officer]: Oh!
[20:45] [Police Officer]: Oh!
[20:46] [Police Officer]: Oh!
[20:47] [Police Officer]: Oh!
[20:48] [Police Officer]: Oh!
[20:49] [Police Officer]: Oh!
[20:50] [Police Officer]: Oh!
[20:51] [Police Officer]: Oh!
[20:52] [Police Officer]: Oh!
[20:53] [Police Officer]: Oh!
[20:54] [Police Officer]: Oh!
[20:55] [Police Officer]: Oh!
[20:56] [Police Officer]: Oh!
[20:57] [Police Officer]: Oh!
[20:58] [Police Officer]: Oh!
[20:59] [Police Officer]: Oh!
[21:00] [Police Officer]: Oh!
[21:01] [Police Officer]: Oh!
[21:02] [Police Officer]: Oh!
[21:03] [Police Officer]: Oh!
[21:04] [Police Officer]: Oh!
[21:05] [Police Officer]: Oh!
[21:06] [Police Officer]: Oh!
[21:07] [Police Officer]: Oh!
[21:08] [Police Officer]: Oh!
[21:09] [Police Officer]: Oh!
[21:10] [Police Officer]: Oh!
[21:11] [Police Officer]: Oh!
[21:12] [Police Officer]: Oh!
[21:13] [Police Officer]: Oh!
[21:14] [Police Officer]: Oh!
[21:15] [Police Officer]: Oh!
[21:16] [Police Officer]: Oh!
[21:17] [Police Officer]: Oh!
[21:18] [Police Officer]: Oh!
[21:19] [Police Officer]: Oh!
[21:20] [Police Officer]: Oh!
[21:21] [Police Officer]: Oh!
[21:22] [Police Officer]: Oh!
[21:23] [Police Officer]: Oh!
[21:24] [Police Officer]: Oh!
[21:25] [Police Officer]: Oh!
[21:26] [Police Officer]: Oh!
[21:27] [Police Officer]: Oh!
[21:28] [Police Officer]: Oh!
[21:29] [Police Officer]: Oh!
[21:30] [Police Officer]: Oh!
[21:31] [Police Officer]: Oh!
[21:32] [Police Officer]: Oh!
[21:33] [Police Officer]: Oh!
[21:34] [Police Officer]: Oh!
[21:35] [Police Officer]: Oh!
[21:36] [Police Officer]: Oh!
[21:37] [Police Officer]: Oh!
[21:38] [Police Officer]: Oh!
[21:39] [Police Officer]: Oh!
[21:40] [Police Officer]: Oh!
[21:41] [Police Officer]: Oh!
[21:42] [Police Officer]: Oh!
[21:43] [Police Officer]: Oh!
[21:44] [Police Officer]: Oh!
[21:45] [Police Officer]: Oh!
[21:46] [Police Officer]: Oh!
[21:47] [Police Officer]: Oh!
[21:48] [Police Officer]: Oh!
[21:49] [Police Officer]: Oh!
[21:50] [Police Officer]: Oh!
[21:51] [Police Officer]: Oh!
[21:52] [Police Officer]: Oh!
[21:53] [Police Officer]: Oh!
[21:54] [Police Officer]: Oh!
[21:55] [Police Officer]: Oh!
[21:56] [Police Officer]: Oh!
[21:57] [Police Officer]: Oh!
[21:58] [Police Officer]: Oh!
[21:59] [Police Officer]: Oh!
[22:00] [Police Officer]: Oh!
[22:01] [Police Officer]: Oh!
[22:02] [Police Officer]: Oh!
[22:03] [Police Officer]: Oh!
[22:04] [Police Officer]: Oh!
[22:05] [Police Officer]: Oh!
[22:06] [Police Officer]: Oh!
[22:07] [Police Officer]: Oh!
[22:08] [Police Officer]: Oh!
[22:09] [Police Officer]: Oh!
[22:10] [Police Officer]: Oh!
[22:11] [Police Officer]: Oh!
[22:12] [Police Officer]: Oh!
[22:13] [Police Officer]: Oh!
[22:14] [Police Officer]: Oh!
[22:15] [Police Officer]: Oh!
[22:16] [Police Officer]: Oh!
[22:17] [Police Officer]: Oh!
[22:18] [Police Officer]: Oh!
[22:19] [Police Officer]: Oh!
[22:20] [Police Officer]: Oh!
[22:21] [Police Officer]: Oh!
[22:22] [Police Officer]: Oh!
[22:23] [Police Officer]: Oh!
[22:24] [Police Officer]: Oh!
[22:25] [Police Officer]: Oh!
[22:26] [Police Officer]: Oh!
[22:27] [Police Officer]: Oh!
[22:28] [Police Officer]: Oh!
[22:29] [Police Officer]: Oh!
[22:30] [Police Officer]: Oh!
[22:31] [Police Officer]: Oh!
[22:32] [Police Officer]: Oh!
[22:33] [Police Officer]: Oh!
[22:34] [Police Officer]: Oh!
[22:35] [Police Officer]: Oh!
[22:36] [Police Officer]: Oh!
[22:37] [Police Officer]: Oh!
[22:38] [Police Officer]: Oh!
[22:39] [Police Officer]: Oh!
[22:40] [Police Officer]: Oh!
[22:41] [Police Officer]: Oh!
[22:42] [Police Officer]: Oh!
[22:43] [Police Officer]: Oh!
[22:44] [Police Officer]: Oh!
[22:45] [Police Officer]: Oh!
[22:46] [Police Officer]: Oh!
[22:47] [Police Officer]: Oh!
[22:48] [Police Officer]: Oh!
[22:49] [Police Officer]: Oh!
[22:50] [Police Officer]: Oh!
[22:51] [Police Officer]: Oh!
[22:52] [Police Officer]: Oh!
[22:53] [Police Officer]: Oh!
[22:54] [Police Officer]: Oh!
[22:55] [Police Officer]: Oh!
[22:56] [Police Officer]: Oh!
[22:57] [Police Officer]: Oh!
[22:58] [Police Officer]: Oh!
[22:59] [Police Officer]: Oh!
[23:00] [Police Officer]: Oh!
[23:01] [Police Officer]: Oh!
[23:02] [Police Officer]: Oh!
[23:03] [Police Officer]: Oh!
[23:04] [Police Officer]: Oh!
[23:05] [Police Officer]: Oh!
[23:06] [Police Officer]: Oh!
[23:07] [Police Officer]: Oh!
[23:08] [Police Officer]: Oh!
[23:09] [Police Officer]: Oh!
[23:10] [Police Officer]: Oh!
[23:11] [Police Officer]: Oh!
[23:12] [Police Officer]: Oh!
[23:13] [Police Officer]: Oh!
[23:14] [Police Officer]: Oh!
[23:15] [Police Officer]: Oh!
[23:16] [Police Officer]: Oh!
[23:17] [Police Officer]: Oh!
[23:18] [Police Officer]: Oh!
[23:19] [Police Officer]: Oh!
[23:20] [Police Officer]: Oh!
[23:21] [Police Officer]: Oh!
[23:22] [Police Officer]: Oh!
[23:23] [Police Officer]: Oh!
[23:24] [Police Officer]: Oh!
[23:25] [Police Officer]: Oh!
[23:26] [Police Officer]: Oh!
[23:27] [Police Officer]: Oh!
[23:28] [Police Officer]: Oh!
[23:29] [Police Officer]: Oh!
[23:30] [Police Officer]: Oh!
[23:31] [Police Officer]: Oh!
[23:32] [Police Officer]: Oh!
[23:33] [Police Officer]: Oh!
[23:34] [Police Officer]: Oh!
[23:35] [Police Officer]: Oh!
[23:36] [Police Officer]: Oh!
[23:37] [Police Officer]: Oh!
[23:38] [Police Officer]: Oh!
[23:39] [Police Officer]: Oh!
[23:40] [Police Officer]: Oh!
[23:41] [Police Officer]: Oh!
[23:42] [Police Officer]: Oh!
[23:43] [Police Officer]: Oh!
[23:44] [Police Officer]: Oh!
[23:45] [Police Officer]: Oh!
[23:46] [Police Officer]: Oh!
[23:47] [Police Officer]: Oh!
[23:48] [Police Officer]: Oh!
[23:49] [Police Officer]: Oh!
[23:50] [Police Officer]: Oh!
[23:51] [Police Officer]: Oh!
[23:52] [Police Officer]: Oh!
[23:53] [Police Officer]: Oh!
[23:54] [Police Officer]: Oh!
[23:55] [Police Officer]: Oh!
[23:56] [Police Officer]: Oh!
[23:57] [Police Officer]: Oh!
[23:58] [Police Officer]: Oh!
[23:59] [Police Officer]: Oh!
[24:00] [Police Officer]: Oh!
[24:01] [Police Officer]: Oh!
[24:02] [Police Officer]: Oh!
[24:03] [Police Officer]: Oh!
[24:04] [Police Officer]: Oh!
[24:05] [Police Officer]: Oh!
[24:06] [Police Officer]: Oh!
[24:07] [Police Officer]: Oh!
[24:08] [Police Officer]: Oh!
[24:09] [Police Officer]: Oh!
[24:10] [Police Officer]: Oh!
[24:11] [Police Officer]: Oh!
[24:12] [Police Officer]: Oh!
[24:13] [Police Officer]: Oh!
[24:14] [Police Officer]: Oh!
[24:15] [Police Officer]: Oh!
[24:16] [Police Officer]: Oh!
[24:17] [Police Officer]: Oh!
[24:18] [Police Officer]: Oh!
[24:19] [Police Officer]: Oh!
[24:20] [Police Officer]: Oh!
